group,country_code,name,overall,confidence,source_url,source_name
B,SUI,Ricardo Rodriguez,74,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/ricardo-rodriguez/193352,EA SPORTS FC official ratings
B,SUI,Ardon Jashari,77,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/ardon-jashari/257186,EA SPORTS FC official ratings
B,SUI,Djibril Sow,76,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/djibril-sow/229752,EA SPORTS FC official ratings
B,SUI,Christian Fassnacht,72,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/christian-fassnacht/234913,EA SPORTS FC official ratings
B,SUI,Rubén Vargas,75,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/ruben-vargas/238581,EA SPORTS FC official ratings
B,SUI,Eray Cömert,72,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/eray-comert/233885,EA SPORTS FC official ratings
B,SUI,Noah Okafor,76,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/noah-okafor/242530,EA SPORTS FC official ratings
B,SUI,Michel Aebischer,74,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/michel-aebischer/236898,EA SPORTS FC official ratings
B,SUI,Marvin Keller,72,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/marvin-keller/256726,EA SPORTS FC official ratings
B,SUI,Fabian Rieder,74,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/fabian-rieder/259306,EA SPORTS FC official ratings
B,SUI,Zeki Amdouni,75,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/zeki-amdouni/262642,EA SPORTS FC official ratings
B,SUI,Aurèle Amenda,71,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/aurele-amenda/270846,EA SPORTS FC official ratings
B,SUI,Luca Jaquez,69,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/luca-jaquez/266685,EA SPORTS FC official ratings
B,SUI,Cedric Itten,70,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/cedric-itten/233139,EA SPORTS FC official ratings
C,BRA,Alisson,89,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alisson/212831,
C,BRA,Wesley,77,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wesley/80170,
C,BRA,Gabriel Magalhães,88,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel/232580,
C,BRA,Marquinhos,87,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865,
C,BRA,Casemiro,80,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/casemiro/200145,
C,BRA,Vinícius Júnior,89,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vini-jr/238794,
C,BRA,Bruno Guimarães,86,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruno-guimaraes/247851,
C,BRA,Neymar,90,high,null
C,BRA,Matheus Cunha,83,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matheus-cunha/240243,
C,BRA,Raphinha,89,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/raphinha/233419,
C,BRA,Bremer,85,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bremer/239580,
C,BRA,Fabinho,82,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fabinho/209499,
C,BRA,Endrick,77,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/endrick/272505,
C,BRA,Lucas Paquetá,80,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucas-paqueta/233927,
C,BRA,Gabriel Martinelli,81,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel-martinelli/251566,
C,BRA,Ederson,85,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ederson/210257,
C,BRA,Roger Ibañez,82,high,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ibanez/247257,
